Program,Course Code,Course Name,SME Name,Status
MA Media and Communication,DCM 6130,Digital Communication Strategy,Robi Koki,86
MA Media and Communication,DCM 6170,Social Media Strategies,Robi Koki,86
MA Media and Communication,MAC 6020,Communication Theory,Joseph Nyanoti,86
BSc Epi Bio,BST 4050,Biostatistical Consultancy,Gladys Njoroge,85
MA Media and Communication,DCM 6160,Effective Web Design and Strategy,Geoffrey Serede,85
MA Media and Communication,DCM 6120,Digital Communication and Society,Geoffrey Serede,84
MA Media and Communication,MAC 6120,Organizational Communication,Isaiah Cherutich,84
MA Media and Communication,MAC 6151,Stephen Kimotho,Stephen Kimotho,84
MA Media and Communication,CFD 6110,Development Communication Theory,Joseph Nyanoti,83
MA Media and Communication,CFD 6180,Behavior Change Communication,Stephen Kimotho,83
MA Media and Communication,SCC 6110,Corporate Communication,Caroline Kiarie,83
MA Media and Communication,SCC 6160,Isssues and Crisis Management,Isaiah Cherutich,81
MA Media and Communication,MAC 6010,Introduction to Graduate Studies,Silvester Mutua,80
MA Media and Communication,MDS 6130,Political Communication,Joseph Nyanoti,56
MA Media and Communication,MAC 6040,Entrepreneurship for Communication Professionals,Robi Koki,50
MA Media and Communication,SCC 6120,Integrated Marketing Communication,Isaiah Cherutich,46
MA Media and Communication,MAC 6065,Global Communication in the Digital Age,Silvester Mutua,35
MA Media and Communication,CFD 6160,Behaviour Change Management,Stephen Kimotho,31
MA Media and Communication,MDS 6130,Communication Media and ICT in Development,Silvester Mutua,24
MA Media and Communication,SCC 6130,Managing the Communication Function,Geoffrey Serede,24
BSc Epi Bio,BST 3020,Demographic Techniques,Gladys Njoroge,0
BSc Epi Bio,BST 4030,Spatial Statistics and Disease Mapping,Gladys Njoroge,0
BSc Epi Bio,DAN 4020,Survival Data Analysis,Gladys Njoroge,0
BSc Epi Bio,IST 2230,Introduction to Computer Fundamentals & Programming,Audrey Mbogho,0
